State,County,Tract,Median Household Income,Black Population Percentage
17,031,040600,97596,4.991023339317774
17,031,040700,105400,3.280874899973326
17,031,040800,105500,1.7755231452124285
17,031,040900,79803,0.09970089730807577
17,031,050100,123929,2.825308396339037
17,031,050200,138546,0.9736747205192933
17,031,050300,163625,1.025097207493814
17,031,050500,142548,0.03846893633391037
17,031,050600,109188,0.7168458781362007
17,031,050700,125438,0.0
17,031,050800,172888,3.862660944206009
17,031,050900,130769,2.7377521613832854
17,031,051000,180500,2.10896309314587
17,031,051100,159145,1.1023622047244095
17,031,051200,166771,2.8553299492385786
17,031,051300,218403,7.702307442313942
17,031,051400,154044,9.230769230769232
17,031,060100,135272,0.22026431718061676
17,031,060200,89167,4.797391709361901
17,031,060300,140125,1.9142148174406242
17,031,060400,162011,1.219181793551883
17,031,060500,54250,4.662004662004662
17,031,060800,81156,3.6473021244594848
17,031,060900,83601,2.045225406884632
17,031,061000,127872,2.108433734939759
17,031,061100,108158,3.7604456824512535
17,031,061200,109479,3.6062378167641325
17,031,061500,133000,4.102817597627286
17,031,061800,69250,2.3255813953488373
17,031,061901,61563,7.847597384134206
17,031,061902,86805,6.217091940056703
17,031,062000,110250,4.325259515570934
17,031,062100,99212,3.8123971475589684
17,031,062200,198333,0.9200507614213198
17,031,062300,227750,0.9322560596643878
17,031,062400,162500,5.28071150639244
17,031,062500,145903,3.5211267605633805
17,031,062600,195357,1.687051876845213
17,031,062700,151080,1.4116874589625739
17,031,062800,166538,1.4937533948940793
17,031,062900,159088,6.259062348960851
17,031,063000,104052,4.115853658536586
17,031,063100,99483,0.0
17,031,063200,81020,5.862068965517241
17,031,063301,66447,6.0828877005347595
17,031,063302,94173,3.7055095075572893
17,031,063303,102500,1.0851419031719534
17,031,063400,95833,4.229979466119096
17,031,070101,93523,2.051058258782457
17,031,070102,92641,8.288590604026846
17,031,070103,78125,7.4357192494788045
17,031,070200,108083,2.936053744712615
17,031,070300,191051,1.8334206390780514
17,031,070400,243795,0.2630809704764689
17,031,070500,186757,3.7362637362637363
17,031,070600,250001,0.720100187852223
17,031,070700,160000,8.393477679764768
17,031,071000,202115,5.104972375690608
17,031,071100,206304,1.2554927809165097
17,031,071200,125581,2.179379715004191
17,031,071300,118878,0.7023492371034149
17,031,071400,118295,5.39575897543565
17,031,071500,115993,1.9028542814221332
17,031,071600,230313,5.359957961114031
17,031,071700,149625,11.11111111111111
17,031,071800,211964,7.997065297138664
17,031,080100,114681,0.7113667322536704
17,031,080201,112708,0.0
17,031,080202,103948,1.5789473684210527
17,031,080300,157112,0.5654557916381083
17,031,080400,-666666666,47.258592471358426
17,031,081000,79556,10.576687116564418
17,031,081100,82039,8.911335578002245
17,031,081201,128955,1.7389340560072266
17,031,081202,177619,3.3459412278149547
17,031,081300,116424,5.869637512470901
17,031,081401,74432,2.62551819438047
17,031,081402,159026,5.62100302928307
17,031,081403,114052,1.6245688216312453
17,031,081500,151626,4.4027721157766
17,031,081600,157623,2.3355704697986575
17,031,081700,132903,3.622771707878091
17,031,081800,164091,2.0388111029231144
17,031,081900,195083,16.111611161116112
17,031,090100,124667,0.28360748723766305
17,031,090200,119421,0.6149116064565718
17,031,090300,107639,0.0
17,031,100100,109111,0.0
17,031,100200,107850,2.8027498677948173
17,031,100300,83271,2.1250193888630373
17,031,100400,143137,0.15037593984962408
17,031,100500,109564,0.8427932576539389
17,031,100600,84000,0.0
17,031,100700,117240,1.9731943410275503
17,031,110100,96514,0.5886426592797784
17,031,110200,68824,7.125132931584545
17,031,110300,115833,0.20739064856711917
17,031,110400,81250,1.2886025327704953
17,031,110501,101220,5.277614282911516
17,031,110502,71440,3.453155958109256
17,031,120100,160461,0.09090909090909091
17,031,120200,149306,1.312048983162038
17,031,120300,140988,0.26965654271927336
17,031,120400,111750,2.867570385818561
17,031,130100,58068,2.063329928498468
17,031,130200,104107,0.9708737864077669
17,031,130300,66154,3.1547619047619047
17,031,140100,86795,3.5511363636363638
17,031,140200,72629,8.677873693775556
17,031,140301,69712,1.7881705639614855
17,031,140302,62478,6.342494714587738
17,031,140400,93036,1.6410082896295044
17,031,140500,73273,5.203405865657521
17,031,140601,87045,10.644460535843592
17,031,140602,59962,8.526472464384435
